Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Currency (Result),Total,Currency (Total),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Currency conversion from amount,Currency (Currency conversion from amount),Currency conversion to amount,Currency (Currency conversion to amount),Currency conversion fee,Currency (Currency conversion fee),French transaction tax,Currency (French transaction tax)
Market buy,2023-12-18 12:40:23,FR0000121329,HO,"Thales",,EOF7550053488,0.0226425000,135.5500000000,EUR,0.04078117,"CZK",75.60,"CZK",,,,,,,0.11,"CZK",0.23,"CZK"
Market buy,2023-12-18 12:41:35,GB0002634946,BA,"BAE Systems",,EOF7550053570,0.2466312900,1070.5000000000,GBX,3.51509513,"CZK",75.60,"CZK",0.38,"CZK",,,,,0.11,"CZK",,
Market buy,2023-12-18 12:42:14,NL0000235190,AIR,"Airbus",,EOF7550053769,0.0172021000,139.1800000000,EUR,0.04077990,"CZK",58.80,"CZK",,,,,,,0.09,"CZK",,
Market buy,2023-12-18 12:47:12,CH0038863350,NESN,"Nestle",,EOF7550054021,0.0165700000,97.7900000000,CHF,0.03864489,"CZK",41.99,"CZK",,,,,,,0.06,"CZK",,
Market buy,2023-12-18 12:47:51,FR0000120644,BN,"Danone",,EOF7550054065,0.0176650000,57.9100000000,EUR,0.04077242,"CZK",25.13,"CZK",,,,,,,0.04,"CZK",,
Market buy,2023-12-18 14:30:01,US7475251036,QCOM,"Qualcomm",,EOF7550063279,0.0292874000,142.7200000000,USD,1.00000000,"USD",4.18,"USD",,,,,,,,,,
Market buy,2023-12-18 14:30:02,US0420682058,ARM,"ARM",,EOF7550064394,0.0593750000,70.4000000000,USD,1.00000000,"USD",4.18,"USD",,,,,,,,,,
Market buy,2023-12-18 14:30:07,US64110L1061,NFLX,"Netflix",,EOF7550070079,0.0039830000,477.0000000000,USD,1.00000000,"USD",1.90,"USD",,,,,,,,,,
Market buy,2023-12-18 14:30:09,US5398301094,LMT,"Lockheed Martin",,EOF7550072544,0.0077042000,443.9000000000,USD,1.00000000,"USD",3.42,"USD",,,,,,,,,,
Market buy,2023-12-18 14:30:19,US5949181045,MSFT,"Microsoft",,EOF7550082211,0.0061673000,369.6700000000,USD,1.00000000,"USD",2.28,"USD",,,,,,,,,,
Market buy,2023-12-18 14:30:21,US57636Q1040,MA,"Mastercard",,EOF7550086581,0.0081290000,420.7000000000,USD,1.00000000,"USD",3.42,"USD",,,,,,,,,,
Market buy,2023-12-18 14:30:26,US62914V1061,NIO,"NIO",,EOF7550086945,0.2654100000,8.5900000000,USD,1.00000000,"USD",2.28,"USD",,,,,,,,,,
Currency conversion,2023-12-18 16:42:36,,,,"60.00 CZK -> 2.11 GBP",GH3DQWZ9YAPRN11M,,,,,,0.00,,,,60.00,"CZK",2.11,"GBP",,,,
Interest on cash,2023-12-21 22:15:22,,,,"Interest on cash",588cada4-0d68-4eb8-887c-879c1af23954,,,,,,0.01,"CZK",,,,,,,,,,
Interest on cash,2023-12-22 22:13:07,,,,"Interest on cash",f374be78-0e88-4f39-a25b-9eff14fee6f7,,,,,,0.01,"USD",,,,,,,,,,
Interest on cash,2023-12-25 22:13:43,,,,"Interest on cash",b3609681-9ae0-462b-8853-976d184b557a,,,,,,0.01,"CZK",,,,,,,,,,
Interest on cash,2023-12-27 22:13:47,,,,"Interest on cash",c62b0055-e981-4aa2-8369-b481e46984bd,,,,,,0.01,"USD",,,,,,,,,,
Interest on cash,2023-12-29 22:15:52,,,,"Interest on cash",7009a4e8-f884-47c1-9983-2dc3248bf1cf,,,,,,0.01,"CZK",,,,,,,,,,
