Action,Time,ISIN,Ticker,Name,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Currency conversion fee,Currency (Currency conversion fee),French transaction tax,Currency (French transaction tax)
Market sell,2024-08-30 13:30:04,US0420682058,ARM,"ARM",EOF19703793323,0.0083099000,133.0700000000,USD,0.04416127,5.86,"CZK",25.00,"CZK",,,0.04,"CZK",,
Market buy,2024-08-30 13:32:42,US67066G1040,NVDA,"Nvidia",EOF19751301095,0.0311421000,119.0700000000,USD,0.04421235,,"CZK",84.00,"CZK",,,0.13,"CZK",,
Market buy,2024-08-30 13:32:42,US7475251036,QCOM,"Qualcomm",EOF19751301103,0.0263855000,171.6700000000,USD,0.04421277,,"CZK",102.60,"CZK",,,0.15,"CZK",,
Market buy,2024-08-30 13:32:42,US5949181045,MSFT,"Microsoft",EOF19751301106,0.0027745000,417.0000000000,USD,0.04420964,,"CZK",26.21,"CZK",,,0.04,"CZK",,
Market buy,2024-08-30 13:32:43,US86800U3023,SMCI,"Super Micro Computer",EOF19751301116,0.0060334000,451.7300000000,USD,0.04420872,,"CZK",61.74,"CZK",,,0.09,"CZK",,
Market buy,2024-08-30 13:32:43,US9311421039,WMT,"Walmart",EOF19751301119,0.0994400000,76.3700000000,USD,0.04421163,,"CZK",172.03,"CZK",,,0.26,"CZK",,
Market buy,2024-08-30 13:32:43,US7731211089,RKLB,"Rocket Lab Corporation",EOF19751301123,1.2149600000,6.3200000000,USD,0.04421343,,"CZK",173.93,"CZK",,,0.26,"CZK",,
Market sell,2024-09-05 07:00:38,CH0038863350,NESN,"Nestle",EOF20003766759,0.0165700000,89.2400000000,CHF,1.00000000,-0.14,"CHF",1.48,"CHF",,,,,,
Market buy,2024-09-19 07:05:21,FR0000121329,HO,"Thales",EOF20702466003,0.0298738000,146.6500000000,EUR,0.03989611,,"CZK",110.30,"CZK",,,0.16,"CZK",0.33,"CZK"
Market buy,2024-09-19 07:05:21,NL0000235190,AIR,"Airbus",EOF20702466029,0.0253336000,130.0800000000,EUR,0.03989581,,"CZK",82.72,"CZK",,,0.12,"CZK",,
Market buy,2024-09-19 07:05:23,GB0002634946,BA,"BAE Systems",EOF20702466132,0.3234921800,1279.0000000000,GBX,3.35615264,,"CZK",124.08,"CZK",0.62,"CZK",0.18,"CZK",,
Market buy,2024-09-19 07:05:33,GB00B63H8491,RR,"Rolls-Royce",EOF20702467433,0.9194498000,500.0000000000,GBX,3.35639118,,"CZK",137.86,"CZK",0.68,"CZK",0.21,"CZK",,
Market buy,2024-09-19 12:25:15,US05606L1008,BYDDY,"BYD",EOF20750352106,0.0196390000,62.3500000000,USD,0.04447844,,"CZK",27.57,"CZK",,,0.04,"CZK",,
Market buy,2024-09-19 13:36:43,US67066G1040,NVDA,"Nvidia",EOF20750387241,0.0103791000,117.6200000000,USD,0.04434397,,"CZK",27.57,"CZK",,,0.04,"CZK",,
Market buy,2024-09-19 13:36:43,US7731211089,RKLB,"Rocket Lab Corporation",EOF20750387246,0.1688500000,7.2300000000,USD,0.04434382,,"CZK",27.57,"CZK",,,0.04,"CZK",,
Market buy,2024-09-19 13:36:43,US64110L1061,NFLX,"Netflix",EOF20750387273,0.0043777000,697.2300000000,USD,0.04434496,,"CZK",68.93,"CZK",,,0.10,"CZK",,
Market buy,2024-09-19 13:36:44,US9311421039,WMT,"Walmart",EOF20750387391,0.0312040000,78.2600000000,USD,0.04435207,,"CZK",55.14,"CZK",,,0.08,"CZK",,
Market buy,2024-09-19 13:36:44,US47215P1066,JD,"JD.com",EOF20750387410,0.1516060000,28.1900000000,USD,0.04435214,,"CZK",96.50,"CZK",,,0.14,"CZK",,
Market buy,2024-09-19 13:36:44,US5949181045,MSFT,"Microsoft",EOF20750387443,0.0069429000,439.6400000000,USD,0.04435304,,"CZK",68.92,"CZK",,,0.10,"CZK",,
Market buy,2024-09-19 13:36:44,US86800U3023,SMCI,"Super Micro Computer",EOF20750387501,0.0027001000,452.1200000000,USD,0.04434323,,"CZK",27.57,"CZK",,,0.04,"CZK",,
Market buy,2024-09-19 13:36:44,US5398301094,LMT,"Lockheed Martin",EOF20750387530,0.0075610000,565.2400000000,USD,0.04435221,,"CZK",96.50,"CZK",,,0.14,"CZK",,
Market buy,2024-09-19 13:36:44,US0420682058,ARM,"ARM",EOF20750387618,0.0458781000,146.3900000000,USD,0.04435115,,"CZK",151.66,"CZK",,,0.23,"CZK",,
Market buy,2024-09-19 13:36:47,US7475251036,QCOM,"Qualcomm",EOF20750388070,0.0351300000,173.8000000000,USD,0.04435270,,"CZK",137.87,"CZK",,,0.21,"CZK",,
Market buy,2024-09-19 13:36:49,US57636Q1040,MA,"Mastercard",EOF20750388162,0.0122014000,500.4000000000,USD,0.04435261,,"CZK",137.87,"CZK",,,0.21,"CZK",,
Market sell,2024-10-08 12:00:02,US05606L1008,BYDDY,"BYD",EOF21605997348,0.0277050000,76.0800000000,USD,0.04339708,14.75,"CZK",48.50,"CZK",,,0.07,"CZK",,
Market sell,2024-10-08 13:30:00,US7731211089,RKLB,"Rocket Lab Corporation",EOF21650606079,0.4106000000,9.5600000000,USD,0.04335950,27.64,"CZK",90.39,"CZK",,,0.14,"CZK",,
Market sell,2024-10-08 13:30:02,US67066G1040,NVDA,"Nvidia",EOF21650610259,0.0083358000,130.2200000000,USD,0.04335015,4.32,"CZK",25.00,"CZK",,,0.04,"CZK",,
Market sell,2024-10-08 13:30:03,US5398301094,LMT,"Lockheed Martin",EOF21650612319,0.0017925000,605.5700000000,USD,0.04335000,5.33,"CZK",25.00,"CZK",,,0.04,"CZK",,
Market sell,2024-10-08 13:30:04,US47215P1066,JD,"JD.com",EOF21650619168,0.4646580000,43.0000000000,USD,0.04335342,156.40,"CZK",460.18,"CZK",,,0.69,"CZK",,
Market buy,2024-10-08 13:31:41,US57636Q1040,MA,"Mastercard",EOF21650625344,0.0046238000,495.0000000000,USD,0.04337276,,"CZK",52.85,"CZK",,,0.08,"CZK",,
Market buy,2024-10-08 13:31:41,US64110L1061,NFLX,"Netflix",EOF21650625349,0.0021317000,709.0000000000,USD,0.04336801,,"CZK",34.90,"CZK",,,0.05,"CZK",,
Market buy,2024-10-08 13:31:41,NL0000235190,AIR,"Airbus",EOF21650625356,0.0315568000,126.6000000000,EUR,0.03950060,,"CZK",101.29,"CZK",,,0.15,"CZK",,
Market buy,2024-10-08 13:31:42,US7475251036,QCOM,"Qualcomm",EOF21650625359,0.0248526000,165.9300000000,USD,0.04337181,,"CZK",95.22,"CZK",,,0.14,"CZK",,
Market buy,2024-10-08 13:31:42,US5949181045,MSFT,"Microsoft",EOF21650625365,0.0048079000,409.7600000000,USD,0.04337483,,"CZK",45.49,"CZK",,,0.07,"CZK",,
Market buy,2024-10-08 13:31:43,GB0002634946,BA,"BAE Systems",EOF21650625373,0.2775827600,1299.5000000000,GBX,3.30965039,,"CZK",109.69,"CZK",0.54,"CZK",0.16,"CZK",,
Market buy,2024-10-08 13:31:43,FR0000121329,HO,"Thales",EOF21650625376,0.0233410000,150.2500000000,EUR,0.03950197,,"CZK",89.18,"CZK",,,0.13,"CZK",0.27,"CZK"
Market buy,2024-10-08 13:31:44,US0420682058,ARM,"ARM",EOF21650625418,0.0119998000,141.5100000000,USD,0.04337398,,"CZK",39.21,"CZK",,,0.06,"CZK",,
Market buy,2024-10-23 17:24:42,US86800U3023,SMCI,"Super Micro Computer",EOF22402582913,0.2225660000,44.9300000000,USD,1.00000000,,"USD",10.00,"USD",,,,,,
Market buy,2024-11-06 14:34:35,US5324571083,LLY,"Eli Lilly & Co",EOF23104810863,0.0021270000,818.0000000000,USD,1.00000000,,"USD",1.74,"USD",,,,,,
Limit sell,2024-11-13 16:16:37,US7731211089,RKLB,"Rocket Lab Corporation",EOF23454410432,2.0000000000,21.9700000000,USD,1.00000000,30.42,"USD",43.94,"USD",,,,,,
Limit buy,2024-11-15 14:30:02,US7731211089,RKLB,"Rocket Lab Corporation",EOF23551114048,2.0000000000,16.9800000000,USD,1.00000000,,"USD",33.96,"USD",,,,,,
Market buy,2024-11-21 09:20:18,GB00B63H8491,RR,"Rolls-Royce",EOF23806277037,0.8403200000,520.8000000000,GBX,3.28952687,,"CZK",133.90,"CZK",0.66,"CZK",0.20,"CZK",,
Market buy,2024-11-21 09:20:18,GB0002634946,BA,"BAE Systems",EOF23806277040,0.3022973900,1303.0000000000,GBX,3.28957323,,"CZK",120.52,"CZK",0.60,"CZK",0.18,"CZK",,
Market buy,2024-11-21 09:20:19,FR0000121329,HO,"Thales",EOF23806277051,0.0277299000,151.8000000000,EUR,0.03946928,,"CZK",107.13,"CZK",,,0.16,"CZK",0.32,"CZK"
Market buy,2024-11-21 09:20:19,NL0000235190,AIR,"Airbus",EOF23806277054,0.0230936000,137.1200000000,EUR,0.03946895,,"CZK",80.35,"CZK",,,0.12,"CZK",,
Market buy,2024-11-21 13:00:02,US05606L1008,BYDDY,"BYD",EOF23850712690,0.0163930000,67.7200000000,USD,0.04151585,,"CZK",26.78,"CZK",,,0.04,"CZK",,
Market buy,2024-11-21 14:30:01,US7475251036,QCOM,"Qualcomm",EOF23850730430,0.0357881000,155.3000000000,USD,0.04156676,,"CZK",133.91,"CZK",,,0.20,"CZK",,
Market buy,2024-11-21 14:30:01,US7731211089,RKLB,"Rocket Lab Corporation",EOF23850730433,0.1364110000,20.3700000000,USD,0.04156607,,"CZK",66.95,"CZK",,,0.10,"CZK",,
Market buy,2024-11-21 14:30:04,US67066G1040,NVDA,"Nvidia",EOF23850736958,0.0074387000,149.4200000000,USD,0.04156658,,"CZK",26.78,"CZK",,,0.04,"CZK",,
Market buy,2024-11-21 14:30:04,US64110L1061,NFLX,"Netflix",EOF23850738778,0.0031438000,883.8500000000,USD,0.04156540,,"CZK",66.95,"CZK",,,0.10,"CZK",,
Market buy,2024-11-21 14:30:04,US5398301094,LMT,"Lockheed Martin",EOF23850738757,0.0072667000,535.4000000000,USD,0.04156614,,"CZK",93.74,"CZK",,,0.14,"CZK",,
Market buy,2024-11-21 14:30:04,US0420682058,ARM,"ARM",EOF23850738805,0.0446882000,136.8100000000,USD,0.04156780,,"CZK",147.30,"CZK",,,0.22,"CZK",,
Market buy,2024-11-21 14:30:04,US47215P1066,JD,"JD.com",EOF23850738798,0.0631890000,35.1800000000,USD,0.04156673,,"CZK",53.56,"CZK",,,0.08,"CZK",,
Market buy,2024-11-21 14:30:04,US57636Q1040,MA,"Mastercard",EOF23850738789,0.0107962000,514.8000000000,USD,0.04156670,,"CZK",133.91,"CZK",,,0.20,"CZK",,
Market buy,2024-11-21 14:30:06,US5949181045,MSFT,"Microsoft",EOF23850743675,0.0066195000,419.7900000000,USD,0.04156768,,"CZK",66.95,"CZK",,,0.10,"CZK",,
Market buy,2024-11-21 14:30:07,US9311421039,WMT,"Walmart",EOF23850747932,0.0255220000,87.1000000000,USD,0.04156630,,"CZK",53.56,"CZK",,,0.08,"CZK",,
Market buy,2024-11-21 14:30:55,US5324571083,LLY,"Eli Lilly & Co",EOF23852701937,0.0014870000,747.3100000000,USD,0.04155759,,"CZK",26.78,"CZK",,,0.04,"CZK",,
Market sell,2024-12-10 16:47:52,US5949181045,MSFT,"Microsoft",EOF24803440438,0.0049029000,445.8100000000,USD,0.04188085,5.54,"CZK",52.11,"CZK",,,0.08,"CZK",,
Market sell,2024-12-10 16:47:52,US86800U3023,SMCI,"Super Micro Computer",EOF24803440441,0.1968920000,40.5300000000,USD,0.04190313,-60.34,"CZK",190.15,"CZK",,,0.29,"CZK",,
Market sell,2024-12-10 16:47:53,US47215P1066,JD,"JD.com",EOF24803440447,0.1889250000,39.6600000000,USD,0.04188242,51.96,"CZK",178.63,"CZK",,,0.27,"CZK",,
Market sell,2024-12-10 16:47:53,US64110L1061,NFLX,"Netflix",EOF24803440451,0.0079606000,918.2000000000,USD,0.04188301,58.57,"CZK",174.26,"CZK",,,0.26,"CZK",,
Market sell,2024-12-10 16:47:55,US9311421039,WMT,"Walmart",EOF24803440458,0.0328540000,94.8100000000,USD,0.04188365,19.17,"CZK",74.26,"CZK",,,0.11,"CZK",,
Market sell,2024-12-10 16:47:58,US57636Q1040,MA,"Mastercard",EOF24803440462,0.0066304000,527.8500000000,USD,0.04188435,11.88,"CZK",83.43,"CZK",,,0.13,"CZK",,
Market sell,2024-12-11 08:00:13,NL0000235190,AIR,"Airbus",EOF24806460464,0.0325948000,156.0800000000,EUR,0.03981994,10.42,"CZK",127.57,"CZK",,,0.19,"CZK",,
Market sell,2024-12-11 08:00:39,GB00B63H8491,RR,"Rolls-Royce",EOF24806463478,0.2083137000,563.8000000000,GBX,3.28064983,9.85,"CZK",35.75,"CZK",,,0.05,"CZK",,
Market buy,2024-12-11 08:00:44,FR0000121329,HO,"Thales",EOF24806464146,0.0319468000,137.3000000000,EUR,0.03983196,,"CZK",110.62,"CZK",,,0.17,"CZK",0.33,"CZK"
Market buy,2024-12-11 08:00:50,GB0002634946,BA,"BAE Systems",EOF24806464587,0.3724481900,1180.5000000000,GBX,3.28287230,,"CZK",134.80,"CZK",0.67,"CZK",0.20,"CZK",,
Market buy,2024-12-11 13:00:01,US05606L1008,BYDDY,"BYD",EOF24850156566,0.0231860000,73.0000000000,USD,0.04182302,,"CZK",40.53,"CZK",,,0.06,"CZK",,
Market buy,2024-12-11 14:30:00,US7475251036,QCOM,"Qualcomm",EOF24850172442,0.0175133000,157.6000000000,USD,0.04187038,,"CZK",66.02,"CZK",,,0.10,"CZK",,
Market buy,2024-12-11 14:30:01,US7731211089,RKLB,"Rocket Lab Corporation",EOF24850173959,0.0490610000,23.1100000000,USD,0.04186852,,"CZK",27.12,"CZK",,,0.04,"CZK",,
Market buy,2024-12-11 14:30:02,US0420682058,ARM,"ARM",EOF24850178547,0.0101457000,137.9500000000,USD,0.04186656,,"CZK",33.48,"CZK",,,0.05,"CZK",,
Market buy,2024-12-11 14:30:02,US5398301094,LMT,"Lockheed Martin",EOF24850178553,0.0122223000,514.0000000000,USD,0.04187058,,"CZK",150.27,"CZK",,,0.23,"CZK",,
Market buy,2024-12-11 14:30:05,US5324571083,LLY,"Eli Lilly & Co",EOF24850188105,0.0118894000,795.0000000000,USD,0.04187335,,"CZK",226.07,"CZK",,,0.34,"CZK",,
Market buy,2024-12-19 08:05:19,NL0000235190,AIR,"Airbus",EOF25250513095,0.0209735000,158.0800000000,EUR,0.03975885,,"CZK",83.52,"CZK",,,0.13,"CZK",,
Market buy,2024-12-19 08:05:19,FR0000121329,HO,"Thales",EOF25250513101,0.0320305000,137.6000000000,EUR,0.03975642,,"CZK",111.36,"CZK",,,0.17,"CZK",0.33,"CZK"
Market buy,2024-12-19 08:05:19,GB00B63H8491,RR,"Rolls-Royce",EOF25250513119,0.7100842000,574.6000000000,GBX,3.27801382,,"CZK",125.28,"CZK",0.62,"CZK",0.19,"CZK",,
Market buy,2024-12-19 08:05:20,GB0002634946,BA,"BAE Systems",EOF25250513166,0.3117234200,1163.5000000000,GBX,3.27811098,,"CZK",111.36,"CZK",0.55,"CZK",0.17,"CZK",,
Market buy,2024-12-19 13:10:59,US05606L1008,BYDDY,"BYD",EOF25251686024,0.0164570000,69.9000000000,USD,0.04137929,,"CZK",27.84,"CZK",,,0.04,"CZK",,
Market buy,2024-12-19 14:35:41,US0079031078,AMD,"Advanced Micro Devices",EOF25253696037,0.0187750000,122.5400000000,USD,0.04138673,,"CZK",55.67,"CZK",,,0.08,"CZK",,
Market buy,2024-12-19 14:35:41,US5398301094,LMT,"Lockheed Martin",EOF25253696043,0.0083617000,481.5000000000,USD,0.04138306,,"CZK",97.44,"CZK",,,0.15,"CZK",,
Market buy,2024-12-19 14:35:41,US67066G1040,NVDA,"Nvidia",EOF25253696051,0.0087775000,131.0500000000,USD,0.04137738,,"CZK",27.84,"CZK",,,0.04,"CZK",,
Market buy,2024-12-19 14:35:42,US5324571083,LLY,"Eli Lilly & Co",EOF25253696114,0.0014898000,772.0900000000,USD,0.04137624,,"CZK",27.84,"CZK",,,0.04,"CZK",,
Market buy,2024-12-19 14:35:42,US7731211089,RKLB,"Rocket Lab Corporation",EOF25253696147,0.1195260000,24.0600000000,USD,0.04137835,,"CZK",69.60,"CZK",,,0.10,"CZK",,
Market buy,2024-12-19 14:35:42,US47215P1066,JD,"JD.com",EOF25253696180,0.0631680000,36.4200000000,USD,0.04138475,,"CZK",55.67,"CZK",,,0.08,"CZK",,
Market buy,2024-12-19 14:35:42,US5949181045,MSFT,"Microsoft",EOF25253696220,0.0064964000,442.6700000000,USD,0.04138381,,"CZK",69.59,"CZK",,,0.10,"CZK",,
Market buy,2024-12-19 14:35:42,US9311421039,WMT,"Walmart",EOF25253696288,0.0243820000,94.3600000000,USD,0.04137923,,"CZK",55.68,"CZK",,,0.08,"CZK",,
Market buy,2024-12-19 14:35:42,US7475251036,QCOM,"Qualcomm",EOF25253696300,0.0337561000,153.3500000000,USD,0.04138218,,"CZK",125.28,"CZK",,,0.19,"CZK",,
Market buy,2024-12-19 14:35:45,US64110L1061,NFLX,"Netflix",EOF25253696497,0.0031713000,906.8000000000,USD,0.04138343,,"CZK",69.59,"CZK",,,0.10,"CZK",,
Market buy,2024-12-19 14:35:46,US0420682058,ARM,"ARM",EOF25253696529,0.0413523000,139.0900000000,USD,0.04138205,,"CZK",139.20,"CZK",,,0.21,"CZK",,
Market buy,2024-12-19 14:35:47,US57636Q1040,MA,"Mastercard",EOF25253696599,0.0107858000,528.3600000000,USD,0.04138250,,"CZK",137.92,"CZK",,,0.21,"CZK",,
Market buy,2024-12-19 14:35:48,US57636Q1040,MA,"Mastercard",EOF25253696672,0.0001003000,528.3600000000,USD,0.04140195,,"CZK",1.28,"CZK",,,,,,
